"","model","data","train_accuracy","train_f1","train_precision","train_recall","test_accuracy","test_f1","test_precision","test_recall"
"2","basic tree","original",0.91428864984633,NA,NA,0,0.914674949707627,NA,NA,0
"3","basic tree","undersampled",0.737905119774542,0.752988047808765,0.712742678895666,0.798050357087004,0.737518265952265,0.74989847421245,0.714380457610257,0.789133089133089
"4","basic tree","oversampled_2",0.736712220507429,0.710650082755682,0.67165381160363,0.754453723034099,0.736604968339016,0.711253504205046,0.67083962875027,0.756848898088396
"5","basic tree","oversampled_3",0.729556236332987,0.665409747152561,0.658656304325596,0.672303115703773,0.731669893690863,0.667632019548396,0.661634129570391,0.673739649293717
"6","basic tree","oversampled_4",0.73238215292219,0.659394224284167,0.644902405628792,0.674552316039264,0.730260877710646,0.657353641123275,0.644861558574964,0.670339270979954
"7","rf","original",0.958477771424487,0.680375502905677,0.999898928643622,0.515609527284099,0.915519236181324,0.14096449390567,0.532425940752602,0.0812362570241876
"8","rf","undersampled",0.935650540159699,0.935586668059764,0.937594890319879,0.933587030182975,0.761994641987336,0.769366924302319,0.744377212010503,0.796092796092796
"9","rf","oversampled_2",0.948295272391092,0.939223711078198,0.946297702509404,0.932254697286013,0.846722566279313,0.823444544634806,0.813227261933033,0.833921831243151
"10","rf","oversampled_3",0.950973587111387,0.937874479201111,0.950942788938658,0.925160482229529,0.875582995409101,0.843721798185906,0.847858833656122,0.839624939113492
"11","rf","oversampled_4",0.952026142741294,0.93635831069926,0.954391983585022,0.918993508190552,0.888567280221067,0.853153931613381,0.86817907747965,0.83864000388293
"1","catboost","original",0.918215281252234,0.168422965116279,0.655355249204666,0.0966279251576588,0.916665798059183,0.145742066460092,0.581415174765558,0.0833129733691669
"12","catboost","undersampled",0.77775168310631,0.785471398705322,0.75991812067453,0.812803002658604,0.766134924500731,0.771545827633379,0.752174417256175,0.791941391941392
"13","catboost","oversampled_2",0.84892676344062,0.815996658282103,0.853484793799745,0.781663187195546,0.8453656669682,0.811988409230314,0.847835689045936,0.779049474410487
"14","catboost","oversampled_3",0.869313348398578,0.82522421915896,0.887229667872312,0.771319346589426,0.866498617859448,0.821835437895113,0.881471152170124,0.769757671699951
"15","catboost","oversampled_4",0.882755104498703,0.835133197473228,0.907773305188749,0.773257090289466,0.879790173762353,0.831863740583033,0.903955124006948,0.770421783235451
